ID,Specie,Year,Month,Author,Locality,Latitude,Longitude,Depth..m.,Area..m2.,Estimated.coordinates,Reference,ANP,Estimated.Area,Area.Loss,Loss.Index,Pollution,Coastal.Modification,Biological.Resource.Use,MHWs,Protection.Level,Validation,Threat.index,Red.List.Category,Zone,State,Region,
159,Ruppia maritima,2009,June,Lopez-Calderon et al.,El Requeson,26.6388,-111.8294,DD,DD,No,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Parque Nacional Bahia de Loreto,DD,DD,NA,1,0,0,0.985410801,0.5,0,0.414235134,VU,Bahia Concepcion,Baja California Sur,Central Gulf,
160,Ruppia maritima,2010,August,Lopez-Calderon et al.,El Requeson,26.6388,-111.8294,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Parque Nacional Bahia de Loreto,DD,DD,NA,1,0,0,0.985410801,0.5,0,0.414235134,VU,Bahia Concepcion,Baja California Sur,Central Gulf,
161,Ruppia maritima,2010,May,Lopez-Calderon et al.,El Requeson,26.6388,-111.8294,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Parque Nacional Bahia de Loreto,DD,DD,NA,1,0,0,0.985410801,0.5,0,0.414235134,VU,Bahia Concepcion,Baja California Sur,Central Gulf,
162,Ruppia maritima,2009,DD,Meling-Lopez,El Siuti,27.6,-110.61,DD,DD,No,Com.Pers.,Sitio Ramsar Complejo Lagunar Bahía Guásimas – Estero Lobos,DD,DD,NA,1,1,1,0.639621193,0.5,0.5,0.773270199,CR,El Siuti,Sonora,Central Gulf,
163,Ruppia maritima,2009,DD,Meling-Lopez,El Tobari,27.14,-110.25,DD,DD,No,Com.Pers.,Sitio Ramsar Complejo Lagunar Bahía Guásimas – Estero Lobos,DD,DD,NA,1,0,1,0.536984899,0.5,0.5,0.589497483,EN,El Tobari,Sonora,Central Gulf,
164,Zostera marina,1968,April,Felger et al.,Ensenada de la Perra,28.78,-112.27,DD,DD,No,MEXU,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
165,Zostera marina,2009,June,Lopez-Calderon et al.,Ensenada Tiburon,29.17,-112.27,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
166,Zostera marina,2010,May,Lopez-Calderon et al.,Ensenada Tiburon,29.18,-112.27,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0.5,0.260174047,NT,Canal del Infiernillo ,Sonora,Central Gulf,
167,Ruppia maritima,1974,April,Felger et al.,Estero de la Cruz,28.79,-111.91,DD,DD,Yes,MEXU,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,0.5,0.747931064,CR,Bahia de Kino,Sonora,Central Gulf,
168,Halodule wrightii,2006,DD,Meling-Lopez,Estero de la Cruz,28.79,-111.91,DD,DD,Yes,Com.Pers.,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,0.5,0.747931064,CR,Bahia de Kino,Sonora,Central Gulf,
169,Zostera marina,2007,December,Felger,Estero de la Cruz,28.79,-111.91,DD,DD,Yes,ARIZ,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,0.5,0.747931064,CR,Bahia de Kino,Sonora,Central Gulf,
170,Ruppia maritima,2009,DD,Meling-Lopez,Estero de la Cruz,28.79,-111.91,DD,DD,No,Com.Pers.,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,0.5,0.747931064,CR,Bahia de Kino,Sonora,Central Gulf,
171,Zostera marina,1973,June,Felger et al.,Estero El Sargento,29.33,-112.33,DD,DD,Yes,MEXU,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
172,Ruppia maritima,1973,June,Felger y Schneider,Estero El Sargento,29.33,-112.33,DD,DD,Yes,MEXU,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
173,Ruppia maritima,2000,February,Seminoff,Estero El Sargento,29.33,-112.33,DD,DD,Yes,MEXU,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.561044279,0.5,0,0.176840713,NT,Canal del Infiernillo ,Sonora,Central Gulf,
174,Zostera marina,1973,April,Felger et al.,Estero El Soldado,27.96,-110.97,DD,DD,Yes,Eddy Covariance observations of semiarid seagrasses from the Gulf of California,Sitio Ramsar Estero El Soldado,DD,DD,NA,1,1,1,0.791656002,0.5,0,0.715276,CR,Estero el Soldado,Sonora,Central Gulf,
175,Ruppia maritima,1985,March,Felger,Estero El Soldado,27.97,-110.97,DD,DD,No,ASU_Plants,Sitio Ramsar Estero El Soldado,DD,DD,NA,1,1,1,0.791656002,0.5,0.5,0.798609334,CR,Estero el Soldado,Sonora,Central Gulf,
176,Ruppia maritima,2000,February,Felger,Estero El Soldado,27.96,-110.97,DD,DD,Yes,Eddy Covariance observations of semiarid seagrasses from the Gulf of California,Sitio Ramsar Estero El Soldado,DD,DD,NA,1,1,1,0.791656002,0.5,0,0.715276,CR,Estero el Soldado,Sonora,Central Gulf,
177,Halodule wrightii,2018,December-May,Barreras-Apodaca y Sanchez-Mejia,Estero El Soldado,27.96,-110.97,DD,DD,Yes,Eddy Covariance observations of semiarid seagrasses from the Gulf of California,Sitio Ramsar Estero El Soldado,DD,DD,NA,1,1,1,0.791656002,0.5,0.5,0.798609334,CR,Estero el Soldado,Sonora,Central Gulf,
178,Zostera marina,2018,December-May,Barreras-Apodaca y Sanchez-Mejia,Estero El Soldado,27.97,-110.97,DD,DD,Yes,Eddy Covariance observations of semiarid seagrasses from the Gulf of California,Sitio Ramsar Estero El Soldado,DD,DD,NA,1,1,1,0.791656002,0.5,0.5,0.798609334,CR,Estero el Soldado,Sonora,Central Gulf,
179,Ruppia maritima,2009,October,Lopez-Calderon et al.,Estero San Miguel,28.97,-112.21,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo,Sonora ,Central Gulf,
180,Ruppia maritima,2010,August,Lopez-Calderon et al.,Estero San Miguel,28.97,-112.2,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo,Sonora ,Central Gulf,
181,Ruppia maritima,1980,DD,Sheridan y Felger,Estero Santa Rosa,28.97,-112.14,DD,DD,No,Indian Utilization of Eelgrass (Zostera marina L.) in Northwestern Mexico: The SpanishColonial Record,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0.5,0.253263374,NT,Canal del Infiernillo,Sonora ,Central Gulf,
182,Ruppia maritima,1987,DD,Ramirez-Garcia y Lot,Estero Santa Rosa,28.97,-112.16,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo,Sonora ,Central Gulf,
183,Ruppia maritima,2002,DD,Torre-Cosio,Estero Santa Rosa,28.97,-112.14,DD,DD,No,Inventario y monitoreo del Canal del Infiernillo para el co-manejo de los recursos marinos en el territorio Seri. Golfo de California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0.5,0.253263374,NT,Canal del Infiernillo,Sonora ,Central Gulf,
184,Ruppia maritima,2009,October,Lopez-Calderon et al.,Estero Santa Rosa,28.97,-112.16,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo,Sonora ,Central Gulf,
185,Ruppia maritima,2010,August,Lopez-Calderon et al.,Estero Santa Rosa,28.98,-112.16,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo,Sonora ,Central Gulf,
186,Zostera marina,1986-1988,January-June,Ramirez-Garcia y Lot,Estero Santa Rosa,28.97,-112.16,3,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo,Sonora ,Central Gulf,
187,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Estero Santa Rosa,28.97,-112.16,0.5,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo,Sonora ,Central Gulf,
188,Halodule wrightii,1986-1988,January-June,Ramirez-Garcia y Lot,Estero Santa Rosa,28.97,-112.16,1,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo,Sonora ,Central Gulf,
189,Zostera marina,1970,DD,Den Hartog,Estero Tastiota,28.36,-111.46,DD,DD,Yes,The seagrasses of the world,No,DD,DD,NA,1,1,1,0.536984899,1,0,0.75616415,CR,Estero Tastiota,Sonora,Central Gulf,
190,Zostera marina,1970,DD,Den Hartog,Estero Tastiota,28.37,-111.44,DD,DD,Yes,The seagrasses of the world,No,DD,DD,NA,1,1,1,0.536984899,1,0,0.75616415,CR,Estero Tastiota,Sonora,Central Gulf,
191,Ruppia maritima,1973,May,Felger y Schneider,Estero Tastiota,28.36,-111.46,DD,DD,Yes,MEXU,No,DD,DD,NA,1,1,1,0.536984899,1,0,0.75616415,CR,Estero Tastiota,Sonora,Central Gulf,
192,Zostera marina,1976,DD,Felger y Lowe,Estero Tastiota,28.36,-111.46,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,No,DD,DD,NA,1,1,1,0.536984899,1,0,0.75616415,CR,Estero Tastiota,Sonora,Central Gulf,
193,Ruppia maritima,2006,May,Perez-Estrada et al.,Estero Zacatecas,24.17,-110.43,DD,DD,No,Cyanobacteria and macroalgae from an arid environment mangrove on the east coast of the Baja California Peninsula,No,DD,DD,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur,Southern Gulf,
194,Zostera marina,1970,DD,Den Hartog,Guaymas,27.92,-110.83,DD,DD,No,The seagrasses of the world,No,DD,DD,NA,1,1,1,0.791656002,1,1,0.965276,CO,Guaymas,Sonora,Central Gulf,
195,Ruppia maritima,1976,DD,Felger y Lowe,Guaymas,27.92,-110.83,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,No,DD,DD,NA,1,1,1,0.791656002,1,1,0.965276,CO,Guaymas,Sonora,Central Gulf,
196,Zostera marina,1976,DD,Felger y Lowe,Guaymas,27.93,-110.83,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,No,DD,DD,NA,1,1,1,0.791656002,1,1,0.965276,CO,Guaymas,Sonora,Central Gulf,
197,Zostera marina,2010,June,Riosmena-Rodriguez et al.,Guaymas,27.92,-110.83,DD,DD,Yes,Conservation status of Zostera marina populations at Mexican Pacific,No,DD,DD,NA,1,1,1,0.791656002,1,1,0.965276,CO,Guaymas,Sonora,Central Gulf,
198,Zostera marina,2000-2002,June,Riosmena-Rodriguez et al.,Guaymas,27.92,-110.83,DD,DD,Yes,Conservation status of Zostera marina populations at Mexican Pacific,No,DD,DD,NA,1,1,1,0.791656002,1,1,0.965276,CO,Guaymas,Sonora,Central Gulf,
199,Zostera marina,2007-2009,June,Riosmena-Rodriguez et al.,Guaymas,27.92,-110.83,DD,DD,Yes,Conservation status of Zostera marina populations at Mexican Pacific,No,DD,DD,NA,1,1,1,0.791656002,1,1,0.965276,CO,Guaymas,Sonora,Central Gulf,
200,Ruppia maritima,1976,June-October,Edwards,Huizache-Caimanero,22.83,-105.91,DD,DD,No,Ecology of a coastal lagoon complex in Mexico,Sitio Ramsar Laguna Huizache-Caimanero,DD,DD,NA,1,0,1,0.682364986,0.5,0.5,0.613727498,EN,Huizache-Caimanero,Sinaloa ,Southern Gulf,
201,Ruppia maritima,1982,DD,Paul y Bowers,Huizache-Caimanero,22.91,-106.07,DD,DD,Yes,The ecology and Penaeus fisheries of a coastal lagoon system in West Mexico,Sitio Ramsar Laguna Huizache-Caimanero,DD,DD,NA,1,0,1,0.682364986,0.5,0,0.530394164,EN,Huizache-Caimanero,Sinaloa ,Southern Gulf,
202,Zostera marina,1976,DD,Felger y Lowe,Isla Alcatraz,28.81,-111.97,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,0.5,0.747931064,CR,Bahia de Kino,Sonora,Central Gulf,
203,Zostera marina,2002,DD,Felger et al.,Isla Alcatraz,28.81,-111.96,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,0.5,0.747931064,CR,Bahia de Kino,Sonora,Central Gulf,
204,Zostera marina,2007,December,Felger et al.,Isla Alcatraz,28.81,-111.96,DD,DD,No,MEXU,Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,0.5,0.747931064,CR,Isla Alcatraz,Sonora,Central Gulf,
205,Zostera marina,1986-1988,January-June,Ramirez-Garcia y Lot,Isla Alcatraz,28.81,-111.96,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,0.5,0.747931064,CR,Isla Alcatraz,Sonora,Central Gulf,
206,Zostera marina,1986-1988,DD,Ramirez-Garcia y Lot,Isla Alcatraz,28.81,-111.97,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Humedales de la laguna de La Cruz,DD,DD,NA,1,1,1,0.487586383,0.5,0.5,0.747931064,CR,Isla Alcatraz,Sonora,Central Gulf,
207,Ruppia maritima,1987,DD,Ramirez-Garcia y Lot,Isla Angel de la Guarda,29,-113.12,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Area de Proteccion de Flora y Fauna Islas del Golfo de California,DD,DD,NA,0,0,1,0.141796775,0.5,0.5,0.356966129,VU,Isla Angel de la Guarda,Baja California,Central Gulf,
208,Ruppia maritima,1987,DD,Ramirez-Garcia y Lot,Isla Angel de la Guarda,29.53,-113.55,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Area de Proteccion de Flora y Fauna Islas del Golfo de California,DD,DD,NA,0,0,1,0.184796519,0.5,0.5,0.364132753,VU,Isla Angel de la Guarda,Baja California,Central Gulf,
209,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Isla Angel de la Guarda,29,-113.17,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Area de Proteccion de Flora y Fauna Islas del Golfo de California,DD,DD,NA,0,0,1,0.141796775,0.5,0.5,0.356966129,VU,Isla Angel de la Guarda,Baja California,Central Gulf,
210,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Isla Angel de la Guarda,29,-113.17,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Area de Proteccion de Flora y Fauna Islas del Golfo de California,DD,DD,NA,0,0,1,0.141796775,0.5,0.5,0.356966129,VU,Isla Angel de la Guarda,Baja California,Central Gulf,
211,Zostera marina,1986-1988,January-June,Ramirez-Garcia y Lot,Isla Datil,28.73,-112.3,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.16124904,0.5,0.5,0.193541507,NT,Canal del Infiernillo ,Sonora ,Central Gulf,
212,Ruppia maritima,1921,DD,Johnston,Isla Espiritu Santo,24.5,-110.38,DD,DD,Yes,Expedition of the California Academy of Sciences to the Gulf of California,Parque Nacional Zona marina del Archipielago de Espiritu Santo,DD,DD,NA,0,0,0,0.523931405,0,0.5,0.170655234,NT,La Paz,Baja California Sur,Southern Gulf,
213,Zostera marina,1986-1988,January-June,Ramirez-Garcia y Lot,Isla San Esteban,28.7,-112.56,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",No,DD,DD,NA,0,0,0,0.084975685,1,0.5,0.264162614,NT,Canal del Infiernillo ,Sonora,Central Gulf,
214,Zostera marina,1986-1988,DD,Ramirez-Garcia y Lot,Isla San Esteban,28.69,-112.55,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",No,DD,DD,NA,0,0,0,0.084975685,1,0.5,0.264162614,NT,Canal del Infiernillo ,Sonora,Central Gulf,
215,Ruppia maritima,2009,DD,Meling-Lopez,Isla Siaric,27.08,-110.01,DD,DD,No,Com.Pers.,No,DD,DD,NA,1,1,1,0.536984899,1,0.5,0.839497483,CO,Isla Siari ,Sonora,Central Gulf,
216,Zostera marina,1992,February,Lanham,Isla Talchichilte,24.93,-108.05,DD,DD,No,ARIZ,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,DD,DD,NA,1,0,1,0.436140261,0.5,0.5,0.572690044,EN,Bahia Santa Maria,Sinaloa,Southern Gulf,
217,Zostera marina,1645,DD,Perez de Ribas,Isla Tiburon,29.048,-112.21,DD,DD,Yes,Triunfos de nuestra Santa Fe,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
218,Zostera marina,1729,DD,Perea,Isla Tiburon,29.048,-112.21,DD,DD,Yes,Carta al padre visitador Nicolas de Oro,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
219,Zostera marina,1944,DD,Dawson,Isla Tiburon,29.048,-112.21,DD,DD,Yes,The marine algae of the Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
220,Zostera marina,1970,April,Felger y Moser,Isla Tiburon,29.048,-112.21,DD,DD,Yes,Eelgras (Zostera marina) in the Gulf of California: Discovery of its nutritional value by the Seri Indians,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
221,Zostera marina,1971,May,Diaz-Luna,Isla Tiburon,29.048,-112.21,DD,DD,Yes,MEXU,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
222,Zostera marina,1976,March,Felger,Isla Tiburon,29.048,-112.21,DD,DD,Yes,The Gulf of California: An Ethno-Ecological Perspective,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
223,Ruppia maritima,1976,DD,Felger y Lowe,Isla Tiburon,29.048,-112.21,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
224,Zostera marina,1976,DD,Felger y Lowe,Isla Tiburon,29.048,-112.21,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
225,Zostera marina,1977,DD,Sheridan y Felger,Isla Tiburon,28.89,-112.24,DD,DD,Yes,Indian utilization of Eelgrass (Zostera marina L.) in Northewestern Mexico: The Spanish Colonial Record,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
226,Zostera marina,2002,DD,Felger et al.,Isla Tiburon,29.048,-112.21,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
227,Zostera marina,2007,April,Wilder,Isla Tiburon,28.89,-112.24,DD,DD,Yes,ARIZ,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
228,Ruppia maritima,2007,October,Felger et al.,Isla Tiburon,29.048,-112.21,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
229,Zostera marina,1986-1988,January-June,Ramirez-Garcia y Lot,Isla Tiburon,29.048,-112.21,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),DD,DD,NA,0,0,0,0.519580241,0.5,0,0.16993004,NT,Canal del Infiernillo ,Sonora,Central Gulf,
230,Ruppia maritima,1985,January,Aguilar-Rosas y Lopez-Ruelas,Islas Verdes,25.58,-109.1,3,DD,No,"Halodule wrightii ASCHERS (Potamogetonales:Cymodocea) en la Bahia Topolobampo, Sinaloa, Mexico",Sitio Ramsar Lagunas de Santa María-Topolobampo-Ohuira,DD,DD,NA,1,1,1,0.567699002,0.5,0,0.677949834,CR,Topolobampo,Sinaloa,Southern Gulf,
231,Zostera marina,1985,January,Aguilar-Rosas y Lopez-Ruelas,Islas Verdes,25.58,-109.09,3,DD,No,"Halodule wrightii ASCHERS (Potamogetonales:Cymodocea) en la Bahia Topolobampo, Sinaloa, Mexico",Sitio Ramsar Lagunas de Santa María-Topolobampo-Ohuira,DD,DD,NA,1,1,1,0.567699002,0.5,1,0.8446165,CO,Topolobampo,Sinaloa,Southern Gulf,
232,Halodule wrightii,1985,January,Aguilar-Rosas y Lopez-Ruelas,Islas Verdes,25.58,-109.08,3,DD,No,"Halodule wrightii ASCHERS (Potamogetonales:Cymodocea) en la Bahia Topolobampo, Sinaloa, Mexico",Sitio Ramsar Lagunas de Santa María-Topolobampo-Ohuira,DD,DD,NA,1,1,1,0.567699002,0.5,1,0.8446165,CO,Topolobampo,Sinaloa,Southern Gulf,
233,Halodule wrightii,2013,April-December,Corona-Melendez,La Concha,24.2,-110.3,2,DD,No,"Fauna asociada a praderas de pasto marino Halodule wrightii de Punta Roca Caimancito, de la ensenada de La Paz, B.C.S.",No,0,DD,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur,Southern Gulf,
234,Halodule wrightii,2014,January-August,Corona-Melendez,La Concha,24.2,-110.3,2,DD,No,"Fauna asociada a praderas de pasto marino Halodule wrightii de Punta Roca Caimancito, de la ensenada de La Paz, B.C.S.",No,0,DD,NA,1,1,1,0.523931405,1,1,0.920655234,CO,La Paz,Baja California Sur,Southern Gulf,
235,Ruppia maritima,1986,December,Felger,La Salina,31.52,-114.12,DD,DD,No,ARIZ,Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado,DD,DD,NA,1,0,0,0.991809573,0,0.5,0.415301596,VU,Cienega de Santa Clara,Baja California y Sonora,Upper Gulf ,
236,Ruppia maritima,1986,June,Ezcurra et al.,La Salina,31.52,-114.12,DD,DD,Yes,"Freshwater Islands in a Desert Sand Sea: The hydrology, flora and phytogeography of the Gran Desierto Oases of Northwestern Mexico.",Reserva de la Biosfera Alto Golfo de California y Delta del Rio Colorado,DD,DD,NA,1,0,0,0.991809573,0,0.5,0.415301596,VU,Cienega de Santa Clara,Baja California y Sonora,Upper Gulf ,
237,Ruppia maritima,2008,DD,Morzaira-Luna & Danemann,Laguna San Rafael,28.58,-113.13,DD,DD,No,"Humedales de la region de Bahia de los Angeles, Baja California","Reserva de la Biosfera Zona Marina Bahía de los Angeles, Canales de Ballenas y de Salsipuedes",DD,DD,NA,0,0,0,0,0.5,0.5,0.166666667,NT,Bahia de los Angeles,Baja California,Central Gulf,
238,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Loreto,26.03,-111.33,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Parque Nacional Bahia de Loreto,DD,DD,NA,1,1,0,0.625799846,0.5,0.5,0.604299974,EN,Loreto,Baja California Sur,Central Gulf,
239,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Loreto,26.03,-111.33,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Parque Nacional Bahia de Loreto,DD,DD,NA,1,1,0,0.625799846,0.5,0.5,0.604299974,EN,Loreto,Baja California Sur,Central Gulf,
240,Ruppia maritima,1921,January-June,Johnston,Punta Arenas,26.9,-111.95,DD,DD,Yes,Expedition of the California Academy of Sciences to the Gulf of California,No,DD,DD,NA,1,1,0,0.985410801,1,0.5,0.747568467,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
241,Ruppia maritima,1987,January-June,Ramirez-Garcia y Lot,Punta Arenas,26.9,-111.95,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",No,DD,DD,NA,1,1,0,0.985410801,1,0.5,0.747568467,CR,Bahia Concepcion,Baja California Sur,Central Gulf,
